coder,system,primitive,tier,level
J1_CLAUDE,S2,T2,NUCLEAR,3
J1_CLAUDE,S2,T3,ABSENT,0
J1_CLAUDE,S2,T4,PRESENT,2
J1_CLAUDE,S2,M1,NUCLEAR,3
J1_CLAUDE,S2,M2,PRESENT,2
J1_CLAUDE,S2,M3,NUCLEAR,3
J1_CLAUDE,S2,M4,PRESENT,2
J1_CLAUDE,S2,W1,NUCLEAR,3
J1_CLAUDE,S2,W2,NUCLEAR,3
J1_CLAUDE,S2,W3,NUCLEAR,3
J1_CLAUDE,S2,W4,PRESENT,2
J1_CLAUDE,S2,S1,PRESENT,2
J1_CLAUDE,S2,S2,ABSENT,0
J1_CLAUDE,S2,S3,NUCLEAR,3
J1_CLAUDE,S2,S4,PRESENT,2
J1_CLAUDE,S2,CO1,NUCLEAR,3
J1_CLAUDE,S2,CO2,NUCLEAR,3
J1_CLAUDE,S2,CO3,PRESENT,2
J1_CLAUDE,S2,CO4,NUCLEAR,3
J1_CLAUDE,S2,N1,PRESENT,2
J1_CLAUDE,S2,N2,PRESENT,2
J1_CLAUDE,S2,N3,NUCLEAR,3
J1_CLAUDE,S2,N4,ABSENT,0
J1_CLAUDE,S2,N5,NUCLEAR,3
J1_CLAUDE,S3,C1,NUCLEAR,3
J1_CLAUDE,S3,C2,NUCLEAR,3
J1_CLAUDE,S3,C3,NUCLEAR,3
J1_CLAUDE,S3,C4,PRESENT,2
J1_CLAUDE,S3,C5,PRESENT,2
J1_CLAUDE,S3,I1,NUCLEAR,3
J1_CLAUDE,S3,I2,NUCLEAR,3
J1_CLAUDE,S3,I3,PRESENT,2
J1_CLAUDE,S3,I4,PRESENT,2
J1_CLAUDE,S3,T1,ABSENT,0
J1_CLAUDE,S3,T2,PRESENT,2
J1_CLAUDE,S3,T3,PRESENT,2
J1_CLAUDE,S3,T4,ABSENT,0
J1_CLAUDE,S3,M1,NUCLEAR,3
J1_CLAUDE,S3,M2,NUCLEAR,3
J1_CLAUDE,S3,M3,NUCLEAR,3
J1_CLAUDE,S3,M4,PRESENT,2
J1_CLAUDE,S3,W1,PRESENT,2
J1_CLAUDE,S3,W2,PRESENT,2
J1_CLAUDE,S3,W3,PRESENT,2
J1_CLAUDE,S3,W4,PRESENT,2
J1_CLAUDE,S3,S1,NUCLEAR,3
J1_CLAUDE,S3,S2,PRESENT,2
J1_CLAUDE,S3,S3,INFERRED,1
J1_CLAUDE,S3,S4,INFERRED,1
J1_CLAUDE,S3,CO1,NUCLEAR,3
J1_CLAUDE,S3,CO2,PRESENT,2
J1_CLAUDE,S3,CO3,PRESENT,2
J1_CLAUDE,S3,CO4,PRESENT,2
J1_CLAUDE,S3,N1,PRESENT,2
J1_CLAUDE,S3,N2,PRESENT,2
J1_CLAUDE,S3,N3,PRESENT,2
J1_CLAUDE,S3,N4,PRESENT,2
J1_CLAUDE,S3,N5,NUCLEAR,3
J1_CLAUDE,S4,C1,PRESENT,2
J1_CLAUDE,S4,C2,ABSENT,0
J1_CLAUDE,S4,C3,ABSENT,0
J1_CLAUDE,S4,C4,ABSENT,0
J1_CLAUDE,S4,C5,ABSENT,0
J1_CLAUDE,S4,I1,INFERRED,1
J1_CLAUDE,S4,I2,NUCLEAR,3
J1_CLAUDE,S4,I3,ABSENT,0
J1_CLAUDE,S4,I4,NUCLEAR,3
J1_CLAUDE,S4,T1,PRESENT,2
J1_CLAUDE,S4,T2,PRESENT,2
J1_CLAUDE,S4,T3,ABSENT,0
J1_CLAUDE,S4,T4,PRESENT,2
J1_CLAUDE,S4,M1,ABSENT,0
J1_CLAUDE,S4,M2,ABSENT,0
J1_CLAUDE,S4,M3,PRESENT,2
J1_CLAUDE,S4,M4,NUCLEAR,3
J1_CLAUDE,S4,W1,ABSENT,0
J1_CLAUDE,S4,W2,NUCLEAR,3
J1_CLAUDE,S4,W3,NUCLEAR,3
J1_CLAUDE,S4,W4,NUCLEAR,3
J1_CLAUDE,S4,S1,ABSENT,0
J1_CLAUDE,S4,S2,ABSENT,0
J1_CLAUDE,S4,S3,ABSENT,0
J1_CLAUDE,S4,S4,ABSENT,0
J1_CLAUDE,S4,CO1,ABSENT,0
J1_CLAUDE,S4,CO2,ABSENT,0
J1_CLAUDE,S4,CO3,INFERRED,1
J1_CLAUDE,S4,CO4,ABSENT,0
J1_CLAUDE,S4,N1,NUCLEAR,3
J1_CLAUDE,S4,N2,PRESENT,2
J1_CLAUDE,S4,N3,NUCLEAR,3
J1_CLAUDE,S4,N4,PRESENT,2
J1_CLAUDE,S4,N5,INFERRED,1
J1_CLAUDE,S5,C1,INFERRED,1
J1_CLAUDE,S5,C2,ABSENT,0
J1_CLAUDE,S5,C3,ABSENT,0
J1_CLAUDE,S5,C4,PRESENT,2
J1_CLAUDE,S5,C5,ABSENT,0
J1_CLAUDE,S5,I1,ABSENT,0
J1_CLAUDE,S5,I2,PRESENT,2
J1_CLAUDE,S5,I3,ABSENT,0
J1_CLAUDE,S5,I4,NUCLEAR,3
J1_CLAUDE,S5,T1,ABSENT,0
J1_CLAUDE,S5,T2,ABSENT,0
J1_CLAUDE,S5,T3,ABSENT,0
J1_CLAUDE,S5,T4,NUCLEAR,3
J1_CLAUDE,S5,M1,NUCLEAR,3
J1_CLAUDE,S5,M2,ABSENT,0
J1_CLAUDE,S5,M3,ABSENT,0
J1_CLAUDE,S5,M4,PRESENT,2
J1_CLAUDE,S5,W1,PRESENT,2
J1_CLAUDE,S5,W2,NUCLEAR,3
J1_CLAUDE,S5,W3,NUCLEAR,3
J1_CLAUDE,S5,W4,ABSENT,0
J1_CLAUDE,S5,S1,ABSENT,0
J1_CLAUDE,S5,S2,ABSENT,0
J1_CLAUDE,S5,S3,PRESENT,2
J1_CLAUDE,S5,S4,ABSENT,0
J1_CLAUDE,S5,CO1,ABSENT,0
J1_CLAUDE,S5,CO2,ABSENT,0
J1_CLAUDE,S5,CO3,ABSENT,0
J1_CLAUDE,S5,CO4,ABSENT,0
J1_CLAUDE,S5,N1,PRESENT,2
J1_CLAUDE,S5,N2,NUCLEAR,3
J1_CLAUDE,S5,N3,PRESENT,2
J1_CLAUDE,S5,N4,INFERRED,1
J1_CLAUDE,S5,N5,ABSENT,0
J1_CLAUDE,S6,C1,ABSENT,0
J1_CLAUDE,S6,C2,INFERRED,1
J1_CLAUDE,S6,C3,ABSENT,0
J1_CLAUDE,S6,C4,PRESENT,2
J1_CLAUDE,S6,C5,INFERRED,1
J1_CLAUDE,S6,I1,ABSENT,0
J1_CLAUDE,S6,I2,NUCLEAR,3
J1_CLAUDE,S6,I3,ABSENT,0
J1_CLAUDE,S6,I4,PRESENT,2
J1_CLAUDE,S6,T1,ABSENT,0
J1_CLAUDE,S6,T2,ABSENT,0
J1_CLAUDE,S6,T3,ABSENT,0
J1_CLAUDE,S6,T4,ABSENT,0
J1_CLAUDE,S6,M1,INFERRED,1
J1_CLAUDE,S6,M2,ABSENT,0
J1_CLAUDE,S6,M3,ABSENT,0
J1_CLAUDE,S6,M4,PRESENT,2
J1_CLAUDE,S6,W1,ABSENT,0
J1_CLAUDE,S6,W2,NUCLEAR,3
J1_CLAUDE,S6,W3,NUCLEAR,3
J1_CLAUDE,S6,W4,ABSENT,0
J1_CLAUDE,S6,S1,PRESENT,2
J1_CLAUDE,S6,S2,ABSENT,0
J1_CLAUDE,S6,S3,NUCLEAR,3
J1_CLAUDE,S6,S4,NUCLEAR,3
J1_CLAUDE,S6,CO1,ABSENT,0
J1_CLAUDE,S6,CO2,ABSENT,0
J1_CLAUDE,S6,CO3,ABSENT,0
J1_CLAUDE,S6,CO4,ABSENT,0
J1_CLAUDE,S6,N1,NUCLEAR,3
J1_CLAUDE,S6,N2,NUCLEAR,3
J1_CLAUDE,S6,N3,NUCLEAR,3
J1_CLAUDE,S6,N4,PRESENT,2
J1_CLAUDE,S6,N5,PRESENT,2
J1_CLAUDE,S7,C1,PRESENT,2
J1_CLAUDE,S7,C2,PRESENT,2
J1_CLAUDE,S7,C3,PRESENT,2
J1_CLAUDE,S7,C4,PRESENT,2
J1_CLAUDE,S7,C5,ABSENT,0
J1_CLAUDE,S7,I1,INFERRED,1
J1_CLAUDE,S7,I2,INFERRED,1
J1_CLAUDE,S7,I3,ABSENT,0
J1_CLAUDE,S7,I4,ABSENT,0
J1_CLAUDE,S7,T1,ABSENT,0
J1_CLAUDE,S7,T2,PRESENT,2
J1_CLAUDE,S7,T3,INFERRED,1
J1_CLAUDE,S7,T4,NUCLEAR,3
J1_CLAUDE,S7,M1,ABSENT,0
J1_CLAUDE,S7,M2,PRESENT,2
J1_CLAUDE,S7,M3,NUCLEAR,3
J1_CLAUDE,S7,M4,PRESENT,2
J1_CLAUDE,S7,W1,NUCLEAR,3
J1_CLAUDE,S7,W2,NUCLEAR,3
J1_CLAUDE,S7,W3,NUCLEAR,3
J1_CLAUDE,S7,W4,NUCLEAR,3
J1_CLAUDE,S7,S1,PRESENT,2
J1_CLAUDE,S7,S2,PRESENT,2
J1_CLAUDE,S7,S3,NUCLEAR,3
J1_CLAUDE,S7,S4,NUCLEAR,3
J1_CLAUDE,S7,CO1,PRESENT,2
J1_CLAUDE,S7,CO2,ABSENT,0
J1_CLAUDE,S7,CO3,PRESENT,2
J1_CLAUDE,S7,CO4,ABSENT,0
J1_CLAUDE,S7,N1,ABSENT,0
J1_CLAUDE,S7,N2,PRESENT,2
J1_CLAUDE,S7,N3,PRESENT,2
J1_CLAUDE,S7,N4,INFERRED,1
J1_CLAUDE,S7,N5,INFERRED,1
J1_CLAUDE,S8,C1,PRESENT,2
J1_CLAUDE,S8,C2,ABSENT,0
J1_CLAUDE,S8,C3,ABSENT,0
J1_CLAUDE,S8,C4,ABSENT,0
J1_CLAUDE,S8,C5,INFERRED,1
J1_CLAUDE,S8,I1,NUCLEAR,3
J1_CLAUDE,S8,I2,PRESENT,2
J1_CLAUDE,S8,I3,NUCLEAR,3
J1_CLAUDE,S8,I4,PRESENT,2
J1_CLAUDE,S8,T1,NUCLEAR,3
J1_CLAUDE,S8,T2,NUCLEAR,3
J1_CLAUDE,S8,T3,PRESENT,2
J1_CLAUDE,S8,T4,PRESENT,2
J1_CLAUDE,S8,M1,NUCLEAR,3
J1_CLAUDE,S8,M2,NUCLEAR,3
J1_CLAUDE,S8,M3,PRESENT,2
J1_CLAUDE,S8,M4,NUCLEAR,3
J1_CLAUDE,S8,W1,ABSENT,0
J1_CLAUDE,S8,W2,PRESENT,2
J1_CLAUDE,S8,W3,PRESENT,2
J1_CLAUDE,S8,W4,PRESENT,2
J1_CLAUDE,S8,S1,PRESENT,2
J1_CLAUDE,S8,S2,INFERRED,1
J1_CLAUDE,S8,S3,ABSENT,0
J1_CLAUDE,S8,S4,ABSENT,0
J1_CLAUDE,S8,CO1,PRESENT,2
J1_CLAUDE,S8,CO2,ABSENT,0
J1_CLAUDE,S8,CO3,ABSENT,0
J1_CLAUDE,S8,CO4,ABSENT,0
J1_CLAUDE,S8,N1,ABSENT,0
J1_CLAUDE,S8,N2,PRESENT,2
J1_CLAUDE,S8,N3,INFERRED,1
J1_CLAUDE,S8,N4,INFERRED,1
J1_CLAUDE,S8,N5,ABSENT,0
J1_CLAUDE,S9,C1,NUCLEAR,3
J1_CLAUDE,S9,C2,PRESENT,2
J1_CLAUDE,S9,C3,PRESENT,2
J1_CLAUDE,S9,C4,PRESENT,2
J1_CLAUDE,S9,C5,PRESENT,2
J1_CLAUDE,S9,I1,INFERRED,1
J1_CLAUDE,S9,I2,ABSENT,0
J1_CLAUDE,S9,I3,ABSENT,0
J1_CLAUDE,S9,I4,INFERRED,1
J1_CLAUDE,S9,T1,ABSENT,0
J1_CLAUDE,S9,T2,ABSENT,0
J1_CLAUDE,S9,T3,PRESENT,2
J1_CLAUDE,S9,T4,NUCLEAR,3
J1_CLAUDE,S9,M1,NUCLEAR,3
J1_CLAUDE,S9,M2,PRESENT,2
J1_CLAUDE,S9,M3,PRESENT,2
J1_CLAUDE,S9,M4,PRESENT,2
J1_CLAUDE,S9,W1,NUCLEAR,3
J1_CLAUDE,S9,W2,NUCLEAR,3
J1_CLAUDE,S9,W3,NUCLEAR,3
J1_CLAUDE,S9,W4,NUCLEAR,3
J1_CLAUDE,S9,S1,ABSENT,0
J1_CLAUDE,S9,S2,ABSENT,0
J1_CLAUDE,S9,S3,ABSENT,0
J1_CLAUDE,S9,S4,ABSENT,0
J1_CLAUDE,S9,CO1,ABSENT,0
J1_CLAUDE,S9,CO2,ABSENT,0
J1_CLAUDE,S9,CO3,ABSENT,0
J1_CLAUDE,S9,CO4,ABSENT,0
J1_CLAUDE,S9,N1,ABSENT,0
J1_CLAUDE,S9,N2,INFERRED,1
J1_CLAUDE,S9,N3,PRESENT,2
J1_CLAUDE,S9,N4,INFERRED,1
J1_CLAUDE,S9,N5,PRESENT,2
J1_CLAUDE,S10,C1,PRESENT,2
J1_CLAUDE,S10,C2,ABSENT,0
J1_CLAUDE,S10,C3,PRESENT,2
J1_CLAUDE,S10,C4,ABSENT,0
J1_CLAUDE,S10,C5,ABSENT,0
J1_CLAUDE,S10,I1,NUCLEAR,3
J1_CLAUDE,S10,I2,PRESENT,2
J1_CLAUDE,S10,I3,PRESENT,2
J1_CLAUDE,S10,I4,NUCLEAR,3
J1_CLAUDE,S10,T1,NUCLEAR,3
J1_CLAUDE,S10,T2,NUCLEAR,3
J1_CLAUDE,S10,T3,NUCLEAR,3
J1_CLAUDE,S10,T4,NUCLEAR,3
J1_CLAUDE,S10,M1,NUCLEAR,3
J1_CLAUDE,S10,M2,PRESENT,2
J1_CLAUDE,S10,M3,ABSENT,0
J1_CLAUDE,S10,M4,NUCLEAR,3
J1_CLAUDE,S10,W1,ABSENT,0
J1_CLAUDE,S10,W2,PRESENT,2
J1_CLAUDE,S10,W3,PRESENT,2
J1_CLAUDE,S10,W4,PRESENT,2
J1_CLAUDE,S10,S1,INFERRED,1
J1_CLAUDE,S10,S2,ABSENT,0
J1_CLAUDE,S10,S3,ABSENT,0
J1_CLAUDE,S10,S4,ABSENT,0
J1_CLAUDE,S10,CO1,PRESENT,2
J1_CLAUDE,S10,CO2,INFERRED,1
J1_CLAUDE,S10,CO3,PRESENT,2
J1_CLAUDE,S10,CO4,ABSENT,0
J1_CLAUDE,S10,N1,ABSENT,0
J1_CLAUDE,S10,N2,NUCLEAR,3
J1_CLAUDE,S10,N3,PRESENT,2
J1_CLAUDE,S10,N4,NUCLEAR,3
J1_CLAUDE,S10,N5,INFERRED,1
J2_OPENAI,S1,C1,ABSENT,0
J2_OPENAI,S1,C2,ABSENT,0
J2_OPENAI,S1,C3,NUCLEAR,3
J2_OPENAI,S1,C4,ABSENT,0
J2_OPENAI,S1,C5,ABSENT,0
J2_OPENAI,S1,I1,NUCLEAR,3
J2_OPENAI,S1,I2,ABSENT,0
J2_OPENAI,S1,I3,ABSENT,0
J2_OPENAI,S1,I4,ABSENT,0
J2_OPENAI,S1,T1,ABSENT,0
J2_OPENAI,S1,T2,PRESENT,2
J2_OPENAI,S1,T3,ABSENT,0
J2_OPENAI,S1,T4,ABSENT,0
J2_OPENAI,S1,M1,ABSENT,0
J2_OPENAI,S1,M2,ABSENT,0
J2_OPENAI,S1,M3,ABSENT,0
J2_OPENAI,S1,M4,ABSENT,0
J2_OPENAI,S1,W1,ABSENT,0
J2_OPENAI,S1,W2,ABSENT,0
J2_OPENAI,S1,W3,ABSENT,0
J2_OPENAI,S1,W4,ABSENT,0
J2_OPENAI,S1,S1,NUCLEAR,3
J2_OPENAI,S1,S2,NUCLEAR,3
J2_OPENAI,S1,S3,PRESENT,2
J2_OPENAI,S1,S4,ABSENT,0
J2_OPENAI,S1,CO1,PRESENT,2
J2_OPENAI,S1,CO2,ABSENT,0
J2_OPENAI,S1,CO3,ABSENT,0
J2_OPENAI,S1,CO4,ABSENT,0
J2_OPENAI,S1,N1,ABSENT,0
J2_OPENAI,S1,N2,INFERRED,1
J2_OPENAI,S1,N3,ABSENT,0
J2_OPENAI,S1,N4,ABSENT,0
J2_OPENAI,S1,N5,ABSENT,0
J2_OPENAI,S2,C1,ABSENT,0
J2_OPENAI,S2,C2,ABSENT,0
J2_OPENAI,S2,C3,ABSENT,0
J2_OPENAI,S2,C4,ABSENT,0
J2_OPENAI,S2,C5,ABSENT,0
J2_OPENAI,S2,I1,ABSENT,0
J2_OPENAI,S2,I2,ABSENT,0
J2_OPENAI,S2,I3,ABSENT,0
J2_OPENAI,S2,I4,ABSENT,0
J2_OPENAI,S2,T1,ABSENT,0
J2_OPENAI,S2,T2,ABSENT,0
J2_OPENAI,S2,T3,ABSENT,0
J2_OPENAI,S2,T4,ABSENT,0
J2_OPENAI,S2,M1,ABSENT,0
J2_OPENAI,S2,M2,ABSENT,0
J2_OPENAI,S2,M3,INFERRED,1
J2_OPENAI,S2,M4,ABSENT,0
J2_OPENAI,S2,W1,PRESENT,2
J2_OPENAI,S2,W2,NUCLEAR,3
J2_OPENAI,S2,W3,NUCLEAR,3
J2_OPENAI,S2,W4,ABSENT,0
J2_OPENAI,S2,S1,PRESENT,2
J2_OPENAI,S2,S2,ABSENT,0
J2_OPENAI,S2,S3,PRESENT,2
J2_OPENAI,S2,S4,ABSENT,0
J2_OPENAI,S2,CO1,PRESENT,2
J2_OPENAI,S2,CO2,ABSENT,0
J2_OPENAI,S2,CO3,ABSENT,0
J2_OPENAI,S2,CO4,INFERRED,1
J2_OPENAI,S2,N1,ABSENT,0
J2_OPENAI,S2,N2,ABSENT,0
J2_OPENAI,S2,N3,ABSENT,0
J2_OPENAI,S2,N4,ABSENT,0
J2_OPENAI,S2,N5,ABSENT,0
J2_OPENAI,S3,C1,NUCLEAR,3
J2_OPENAI,S3,C2,ABSENT,0
J2_OPENAI,S3,C3,PRESENT,2
J2_OPENAI,S3,C4,PRESENT,2
J2_OPENAI,S3,C5,ABSENT,0
J2_OPENAI,S3,I1,ABSENT,0
J2_OPENAI,S3,I2,NUCLEAR,3
J2_OPENAI,S3,I3,ABSENT,0
J2_OPENAI,S3,I4,ABSENT,0
J2_OPENAI,S3,T1,ABSENT,0
J2_OPENAI,S3,T2,ABSENT,0
J2_OPENAI,S3,T3,ABSENT,0
J2_OPENAI,S3,T4,ABSENT,0
J2_OPENAI,S3,M1,ABSENT,0
J2_OPENAI,S3,M2,PRESENT,2
J2_OPENAI,S3,M3,PRESENT,2
J2_OPENAI,S3,M4,ABSENT,0
J2_OPENAI,S3,W1,ABSENT,0
J2_OPENAI,S3,W2,ABSENT,0
J2_OPENAI,S3,W3,ABSENT,0
J2_OPENAI,S3,W4,ABSENT,0
J2_OPENAI,S3,S1,ABSENT,0
J2_OPENAI,S3,S2,ABSENT,0
J2_OPENAI,S3,S3,ABSENT,0
J2_OPENAI,S3,S4,ABSENT,0
J2_OPENAI,S3,CO1,PRESENT,2
J2_OPENAI,S3,CO2,PRESENT,2
J2_OPENAI,S3,CO3,ABSENT,0
J2_OPENAI,S3,CO4,ABSENT,0
J2_OPENAI,S3,N1,ABSENT,0
J2_OPENAI,S3,N2,PRESENT,2
J2_OPENAI,S3,N3,ABSENT,0
J2_OPENAI,S3,N4,ABSENT,0
J2_OPENAI,S3,N5,INFERRED,1
J2_OPENAI,S4,C1,ABSENT,0
J2_OPENAI,S4,C2,ABSENT,0
J2_OPENAI,S4,C3,ABSENT,0
J2_OPENAI,S4,C4,ABSENT,0
J2_OPENAI,S4,C5,ABSENT,0
J2_OPENAI,S4,I1,ABSENT,0
J2_OPENAI,S4,I2,ABSENT,0
J2_OPENAI,S4,I3,ABSENT,0
J2_OPENAI,S4,I4,ABSENT,0
J2_OPENAI,S4,T1,ABSENT,0
J2_OPENAI,S4,T2,ABSENT,0
J2_OPENAI,S4,T3,ABSENT,0
J2_OPENAI,S4,T4,ABSENT,0
J2_OPENAI,S4,M1,INFERRED,1
J2_OPENAI,S4,M2,ABSENT,0
J2_OPENAI,S4,M3,ABSENT,0
J2_OPENAI,S4,M4,ABSENT,0
J2_OPENAI,S4,W1,ABSENT,0
J2_OPENAI,S4,W2,NUCLEAR,3
J2_OPENAI,S4,W3,NUCLEAR,3
J2_OPENAI,S4,W4,ABSENT,0
J2_OPENAI,S4,S1,ABSENT,0
J2_OPENAI,S4,S2,ABSENT,0
J2_OPENAI,S4,S3,ABSENT,0
J2_OPENAI,S4,S4,ABSENT,0
J2_OPENAI,S4,CO1,ABSENT,0
J2_OPENAI,S4,CO2,ABSENT,0
J2_OPENAI,S4,CO3,ABSENT,0
J2_OPENAI,S4,CO4,ABSENT,0
J2_OPENAI,S4,N1,ABSENT,0
J2_OPENAI,S4,N2,PRESENT,2
J2_OPENAI,S4,N3,ABSENT,0
J2_OPENAI,S4,N4,ABSENT,0
J2_OPENAI,S4,N5,INFERRED,1
J2_OPENAI,S5,C1,ABSENT,0
J2_OPENAI,S5,C2,ABSENT,0
J2_OPENAI,S5,C3,ABSENT,0
J2_OPENAI,S5,C4,PRESENT,2
J2_OPENAI,S5,C5,ABSENT,0
J2_OPENAI,S5,I1,ABSENT,0
J2_OPENAI,S5,I2,ABSENT,0
J2_OPENAI,S5,I3,ABSENT,0
J2_OPENAI,S5,I4,ABSENT,0
J2_OPENAI,S5,T1,ABSENT,0
J2_OPENAI,S5,T2,ABSENT,0
J2_OPENAI,S5,T3,ABSENT,0
J2_OPENAI,S5,T4,ABSENT,0
J2_OPENAI,S5,M1,ABSENT,0
J2_OPENAI,S5,M2,ABSENT,0
J2_OPENAI,S5,M3,ABSENT,0
J2_OPENAI,S5,M4,ABSENT,0
J2_OPENAI,S5,W1,INFERRED,1
J2_OPENAI,S5,W2,NUCLEAR,3
J2_OPENAI,S5,W3,ABSENT,0
J2_OPENAI,S5,W4,ABSENT,0
J2_OPENAI,S5,S1,ABSENT,0
J2_OPENAI,S5,S2,ABSENT,0
J2_OPENAI,S5,S3,ABSENT,0
J2_OPENAI,S5,S4,ABSENT,0
J2_OPENAI,S5,CO1,ABSENT,0
J2_OPENAI,S5,CO2,ABSENT,0
J2_OPENAI,S5,CO3,ABSENT,0
J2_OPENAI,S5,CO4,ABSENT,0
J2_OPENAI,S5,N1,ABSENT,0
J2_OPENAI,S5,N2,PRESENT,2
J2_OPENAI,S5,N3,ABSENT,0
J2_OPENAI,S5,N4,ABSENT,0
J2_OPENAI,S5,N5,ABSENT,0
J2_OPENAI,S6,C1,ABSENT,0
J2_OPENAI,S6,C2,ABSENT,0
J2_OPENAI,S6,C3,ABSENT,0
J2_OPENAI,S6,C4,ABSENT,0
J2_OPENAI,S6,C5,ABSENT,0
J2_OPENAI,S6,I1,ABSENT,0
J2_OPENAI,S6,I2,ABSENT,0
J2_OPENAI,S6,I3,ABSENT,0
J2_OPENAI,S6,I4,ABSENT,0
J2_OPENAI,S6,T1,ABSENT,0
J2_OPENAI,S6,T2,ABSENT,0
J2_OPENAI,S6,T3,ABSENT,0
J2_OPENAI,S6,T4,ABSENT,0
J2_OPENAI,S6,M1,ABSENT,0
J2_OPENAI,S6,M2,ABSENT,0
J2_OPENAI,S6,M3,ABSENT,0
J2_OPENAI,S6,M4,ABSENT,0
J2_OPENAI,S6,W1,INFERRED,1
J2_OPENAI,S6,W2,NUCLEAR,3
J2_OPENAI,S6,W3,PRESENT,2
J2_OPENAI,S6,W4,ABSENT,0
J2_OPENAI,S6,S1,ABSENT,0
J2_OPENAI,S6,S2,ABSENT,0
J2_OPENAI,S6,S3,ABSENT,0
J2_OPENAI,S6,S4,ABSENT,0
J2_OPENAI,S6,CO1,ABSENT,0
J2_OPENAI,S6,CO2,ABSENT,0
J2_OPENAI,S6,CO3,ABSENT,0
J2_OPENAI,S6,CO4,ABSENT,0
J2_OPENAI,S6,N1,ABSENT,0
J2_OPENAI,S6,N2,PRESENT,2
J2_OPENAI,S6,N3,ABSENT,0
J2_OPENAI,S6,N4,INFERRED,1
J2_OPENAI,S6,N5,ABSENT,0
J2_OPENAI,S7,C1,INFERRED,1
J2_OPENAI,S7,C2,ABSENT,0
J2_OPENAI,S7,C3,INFERRED,1
J2_OPENAI,S7,C4,ABSENT,0
J2_OPENAI,S7,C5,ABSENT,0
J2_OPENAI,S7,I1,ABSENT,0
J2_OPENAI,S7,I2,ABSENT,0
J2_OPENAI,S7,I3,ABSENT,0
J2_OPENAI,S7,I4,ABSENT,0
J2_OPENAI,S7,T1,INFERRED,1
J2_OPENAI,S7,T2,ABSENT,0
J2_OPENAI,S7,T3,ABSENT,0
J2_OPENAI,S7,T4,ABSENT,0
J2_OPENAI,S7,M1,ABSENT,0
J2_OPENAI,S7,M2,PRESENT,2
J2_OPENAI,S7,M3,PRESENT,2
J2_OPENAI,S7,M4,ABSENT,0
J2_OPENAI,S7,W1,NUCLEAR,3
J2_OPENAI,S7,W2,NUCLEAR,3
J2_OPENAI,S7,W3,PRESENT,2
J2_OPENAI,S7,W4,ABSENT,0
J2_OPENAI,S7,S1,ABSENT,0
J2_OPENAI,S7,S2,ABSENT,0
J2_OPENAI,S7,S3,ABSENT,0
J2_OPENAI,S7,S4,ABSENT,0
J2_OPENAI,S7,CO1,ABSENT,0
J2_OPENAI,S7,CO2,ABSENT,0
J2_OPENAI,S7,CO3,ABSENT,0
J2_OPENAI,S7,CO4,ABSENT,0
J2_OPENAI,S7,N1,ABSENT,0
J2_OPENAI,S7,N2,ABSENT,0
J2_OPENAI,S7,N3,ABSENT,0
J2_OPENAI,S7,N4,ABSENT,0
J2_OPENAI,S7,N5,ABSENT,0
J2_OPENAI,S8,C1,ABSENT,0
J2_OPENAI,S8,C2,ABSENT,0
